name,main_category,ratings,no_of_ratings,discount_price,text_for_embedding
Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti,apparel_womens,4.5,3,799.0,apparel_womens:Vorcia Febtex Combo of 2 Feeding Kurti | Kurtis | 3/4th Sleeves Kurti | Rayon Kurti | Maternity wear | Women Kurti
JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta,apparel_womens,5.0,1,499.0,apparel_womens:JAIPUR HAND BLOCK Womens Cotton Long White Holi Kurta
TOPLOT Sleeveless Black Top for Women,apparel_womens,4.0,19,399.0,apparel_womens:TOPLOT Sleeveless Black Top for Women
Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups,apparel_womens,3.7,2405,259.0,apparel_womens:Clovia Women's Cotton Rich Non-Padded Non-Wired Bra with Double Layered Cups
Amazon Brand - Myx Women's Cotton Kurta,apparel_womens,4.0,811,282.0,apparel_womens:Amazon Brand - Myx Women's Cotton Kurta
Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece,apparel_womens,3.4,206,795.0,apparel_womens:Calendar Women's Plain Weave Georgette Printed Silk Saree With Unstitched Blouse Piece
Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary),apparel_womens,3.8,261,660.0,apparel_womens:Lovable Women's Cotton Brief (Pack of 3)(Colors May Vary)
GLARE & BLAIR Ribbed Sleeveless Tank Bodycon Mini Cami Dress for Women,apparel_womens,4.2,14,489.0,apparel_womens:GLARE & BLAIR Ribbed Sleeveless Tank Bodycon Mini Cami Dress for Women
MORE N MORE TRENDZ Embroidered Banarasi With Diamond Work Organza Saree,apparel_womens,5.0,3,1690.0,apparel_womens:MORE N MORE TRENDZ Embroidered Banarasi With Diamond Work Organza Saree
"Zivame Women's Synthetic Non Padded Wire Free T-Shirt, Molded Bra",apparel_womens,4.1,1021,314.0,"apparel_womens:Zivame Women's Synthetic Non Padded Wire Free T-Shirt, Molded Bra"
"Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR805, Grey)",apparel_womens,3.7,188,845.0,"apparel_womens:Miraan Cotton Printed Readymade Salwar Suit For Women(BANDCOLOR805, Grey)"
S.K. Textiles Women's Satin Petticoat (SKT19_White_Medium) (41-45 inches waist),apparel_womens,3.7,48,285.0,apparel_womens:S.K. Textiles Women's Satin Petticoat (SKT19_White_Medium) (41-45 inches waist)
OM SAI LATEST CREATION Women's Cotton Polyester Blended Regular Fit Solid Top | Casual 1/3 Sleeve Tops for Girls,apparel_womens,4.5,2,239.0,apparel_womens:OM SAI LATEST CREATION Women's Cotton Polyester Blended Regular Fit Solid Top | Casual 1/3 Sleeve Tops for Girls
Puma Women Cap,apparel_womens,4.0,1,519.0,apparel_womens:Puma Women Cap
AKHILAM Women's Organza Woven Design Saree With Unstitched Blouse Piece (KANCHI3001_Parent),apparel_womens,4.1,6,1129.0,apparel_womens:AKHILAM Women's Organza Woven Design Saree With Unstitched Blouse Piece (KANCHI3001_Parent)
AISLIN® UV Protected Oval Sunglasses for Women,apparel_womens,4.1,416,598.0,apparel_womens:AISLIN® UV Protected Oval Sunglasses for Women
Janasya Women's Gold Poly Silk Solid Kurta with Pant and Dupatta,apparel_womens,3.9,1120,849.0,apparel_womens:Janasya Women's Gold Poly Silk Solid Kurta with Pant and Dupatta
ANNI DESIGNER Women's Cotton Straight Printed Kurta with Pant & Dupatta (SHIPRA Light GREEN-Jan01),apparel_womens,3.5,13,499.0,apparel_womens:ANNI DESIGNER Women's Cotton Straight Printed Kurta with Pant & Dupatta (SHIPRA Light GREEN-Jan01)
cotton MalMal Saree hand block red colour,apparel_womens,3.5,2,773.0,apparel_womens:cotton MalMal Saree hand block red colour
Fashion & Heritage - Delivering Ethnicity Women's Solid Cotton Pichoda (SBSC_FHCD_PRI_VERI_066_Red_Free Size),apparel_womens,4.0,4,679.0,apparel_womens:Fashion & Heritage - Delivering Ethnicity Women's Solid Cotton Pichoda (SBSC_FHCD_PRI_VERI_066_Red_Free Size)
"Urban_Made Women Summer Wide Brim Straw Hat with Long Ribbon, Fedora Sun Hat for Girls & Women",apparel_womens,5.0,1,425.0,"apparel_womens:Urban_Made Women Summer Wide Brim Straw Hat with Long Ribbon, Fedora Sun Hat for Girls & Women"
"Dream Beauty Fashion Women's Full Sleeve Round Neck Printed Fitted Tee - 23"" Inches (Jiya-Top)",apparel_womens,5.0,1,429.0,"apparel_womens:Dream Beauty Fashion Women's Full Sleeve Round Neck Printed Fitted Tee - 23"" Inches (Jiya-Top)"
Royal Export Women's Straight Floral Printed Kurta Pant & Dupatta,apparel_womens,4.7,16,799.0,apparel_womens:Royal Export Women's Straight Floral Printed Kurta Pant & Dupatta
BIBA Printed Cotton Round Neck Womens Salwar Kurta Dupatta Sets,apparel_womens,2.4,7,1259.0,apparel_womens:BIBA Printed Cotton Round Neck Womens Salwar Kurta Dupatta Sets
Ada Women's Cotton Straight Top Tunic Lucknowi Hand Embroidered Chikankari Short Kurti A100131 Black,apparel_womens,4.1,124,948.0,apparel_womens:Ada Women's Cotton Straight Top Tunic Lucknowi Hand Embroidered Chikankari Short Kurti A100131 Black
AKADO Seamless Thongs for Women Breathable Low Rise Panties Invisible Hipster Underwear Thong No Show Multicolor Free Size...,apparel_womens,1.0,1,365.0,apparel_womens:AKADO Seamless Thongs for Women Breathable Low Rise Panties Invisible Hipster Underwear Thong No Show Multicolor Free Size...
CINOON Women Sexy Cotton 2 Piece Bra and Panties Lingerie Set for Honeymoon | Anniversary | Everyday Bra Panty Combo,apparel_womens,5.0,4,449.0,apparel_womens:CINOON Women Sexy Cotton 2 Piece Bra and Panties Lingerie Set for Honeymoon | Anniversary | Everyday Bra Panty Combo
eS³kube Facial Make-Up Face Wash Velvet Strip Headband Yoga Sports Adjustable Elastic Hair Band For Girls & Women Beauty T...,apparel_womens,4.2,235,170.0,apparel_womens:eS³kube Facial Make-Up Face Wash Velvet Strip Headband Yoga Sports Adjustable Elastic Hair Band For Girls & Women Beauty T...
Clovia Women's Cotton High Waist Hipster with Lace & Powernet,apparel_womens,3.8,51,184.0,apparel_womens:Clovia Women's Cotton High Waist Hipster with Lace & Powernet
Van Heusen Women Casual Shorts,apparel_womens,4.2,26,636.0,apparel_womens:Van Heusen Women Casual Shorts
KG Best Collection Women Cotton Shawl Collar Pocket Shrug,apparel_womens,3.4,45,299.0,apparel_womens:KG Best Collection Women Cotton Shawl Collar Pocket Shrug
DIAMO Women Rajasthani Traditional Silk bandhej dupatta for Women/Girls,apparel_womens,5.0,2,301.0,apparel_womens:DIAMO Women Rajasthani Traditional Silk bandhej dupatta for Women/Girls
Indietoga Women's Floral Printed Long Fit and Flare Maxi Dresses (Small to Plus Sizes 10XL),apparel_womens,3.6,275,662.0,apparel_womens:Indietoga Women's Floral Printed Long Fit and Flare Maxi Dresses (Small to Plus Sizes 10XL)
Satrani Women's Dupatta,apparel_womens,3.9,388,269.0,apparel_womens:Satrani Women's Dupatta
Besick Main Character Energy Oversized fit Drop Shoulders Minimal Printed Tshirts for Men Women,apparel_womens,5.0,2,569.0,apparel_womens:Besick Main Character Energy Oversized fit Drop Shoulders Minimal Printed Tshirts for Men Women
Miss Chase Women's Black Regular Length Mid Rise Clean Look Regular Fit Denim Joggers,apparel_womens,3.7,181,799.0,apparel_womens:Miss Chase Women's Black Regular Length Mid Rise Clean Look Regular Fit Denim Joggers
"Dream Beauty Fashion Women's High Waist Bell Bottom Trouser, Elastic Flared Bootcut Pants, Stretchy Parallel Leg for Casua...",apparel_womens,3.6,151,379.0,"apparel_womens:Dream Beauty Fashion Women's High Waist Bell Bottom Trouser, Elastic Flared Bootcut Pants, Stretchy Parallel Leg for Casua..."
Xeonex Women Babydoll Lingerie Set for Honeymoon for Woman Thongs | Sexy Night Dress Above Knee Baby Doll Night Dress | Tr...,apparel_womens,1.4,3,109.0,apparel_womens:Xeonex Women Babydoll Lingerie Set for Honeymoon for Woman Thongs | Sexy Night Dress Above Knee Baby Doll Night Dress | Tr...
BAILEY SELLS Women's Hosiery Cotton Nighty Solid Midi Slip Nightgown Sleeveless Maxi Nightdress Sleepwear Camisole Chemise...,apparel_womens,1.0,1,499.0,apparel_womens:BAILEY SELLS Women's Hosiery Cotton Nighty Solid Midi Slip Nightgown Sleeveless Maxi Nightdress Sleepwear Camisole Chemise...
